structure,corner_1,corner_2,corner_3,corner_4,type
water_1,"0,0","0,180","32,180","32,0",WATER
eengezinswoning_1,"121,40","121,32","129,32","129,40",EENGEZINSWONING
eengezinswoning_2,"120,79","120,71","128,71","128,79",EENGEZINSWONING
eengezinswoning_3,"138,101","138,93","146,93","146,101",EENGEZINSWONING
eengezinswoning_4,"150,89","150,81","158,81","158,89",EENGEZINSWONING
eengezinswoning_5,"74,40","74,32","82,32","82,40",EENGEZINSWONING
eengezinswoning_6,"150,73","150,65","158,65","158,73",EENGEZINSWONING
maison_11,"75,107","75,97","87,97","87,107",MAISON
bungalow_1,"32,10","32,3","43,3","43,10",BUNGALOW
eengezinswoning_7,"105,61","105,53","113,53","113,61",EENGEZINSWONING
eengezinswoning_8,"134,55","134,47","142,47","142,55",EENGEZINSWONING
bungalow_2,"146,177","146,170","157,170","157,177",BUNGALOW
eengezinswoning_9,"150,57","150,49","158,49","158,57",EENGEZINSWONING
maison_12,"32,74","32,64","44,64","44,74",MAISON
bungalow_3,"96,10","96,3","107,3","107,10",BUNGALOW
bungalow_4,"146,10","146,3","157,3","157,10",BUNGALOW
bungalow_5,"110,142","110,135","121,135","121,142",BUNGALOW
eengezinswoning_10,"134,70","134,62","142,62","142,70",EENGEZINSWONING
eengezinswoning_11,"150,113","150,105","158,105","158,113",EENGEZINSWONING
eengezinswoning_12,"135,85","135,77","143,77","143,85",EENGEZINSWONING
maison_13,"32,174","32,164","44,164","44,174",MAISON
networth,15793890
