Id,Neighbours
0,"[4, 18, 24, 33, 52]"
1,"[21, 22]"
2,"[15, 33, 42, 45, 48, 54]"
3,"[15, 32, 42, 50, 54]"
4,"[0, 11, 18, 52, 53]"
5,"[10, 38, 51]"
6,"[16, 19, 23, 30, 39, 46]"
7,"[9, 37, 51]"
8,"[21, 27, 29, 52]"
9,"[7, 38, 51]"
10,"[5, 38, 51]"
11,"[4, 14, 18]"
12,"[23, 25, 26, 28, 55]"
13,"[16, 39, 55]"
14,"[11, 18, 38]"
15,"[2, 3, 42, 54]"
16,"[6, 13, 19, 39]"
17,"[26, 30, 45, 47, 50, 54]"
18,"[0, 4, 11, 14, 24, 38]"
19,"[6, 16]"
20,"[25, 43, 44]"
21,"[1, 8, 22, 27, 29]"
22,"[1, 21, 29, 44]"
23,"[6, 12, 26, 30, 39, 55]"
24,"[0, 18, 33, 42, 48]"
25,"[12, 20, 28, 43]"
26,"[12, 17, 23, 28, 30, 47, 55]"
27,"[8, 21]"
28,"[12, 25, 26, 43, 45, 47]"
29,"[8, 21, 22, 33, 43, 44, 45, 52]"
30,"[6, 17, 23, 26, 46, 50]"
31,[]
32,"[3, 46, 50]"
33,"[0, 2, 24, 29, 45, 48, 52]"
34,[]
35,[]
36,[]
37,[7]
38,"[5, 9, 10, 14, 18, 51]"
39,"[6, 13, 16, 23, 55]"
40,[]
41,[]
42,"[2, 3, 15, 24, 48]"
43,"[20, 25, 28, 29, 44, 45]"
44,"[20, 22, 29, 43]"
45,"[2, 17, 28, 29, 33, 43, 47, 54]"
46,"[6, 30, 32, 50]"
47,"[17, 26, 28, 45]"
48,"[2, 24, 33, 42]"
49,[]
50,"[3, 17, 30, 32, 46, 54]"
51,"[5, 7, 9, 10, 38]"
52,"[0, 4, 8, 29, 33, 53]"
53,"[4, 52]"
54,"[2, 3, 15, 17, 45, 50]"
55,"[12, 13, 23, 26, 39]"
