Id,Neighbours
0,"[4, 18, 24, 32, 46]"
1,"[21, 22]"
2,"[15, 32, 37, 40, 43, 48]"
3,"[15, 31, 37, 44, 48]"
4,"[0, 11, 18, 46, 47]"
5,"[10, 35, 45]"
6,"[16, 19, 23, 30, 36, 41]"
7,"[9, 34, 45]"
8,"[21, 27, 29, 46]"
9,"[7, 35, 45]"
10,"[5, 35, 45]"
11,"[4, 14, 18]"
12,"[23, 25, 26, 28, 49]"
13,"[16, 36, 49]"
14,"[11, 18, 35]"
15,"[2, 3, 37, 48]"
16,"[6, 13, 19, 36]"
17,"[26, 30, 40, 42, 44, 48]"
18,"[0, 4, 11, 14, 24, 35]"
19,"[6, 16]"
20,"[25, 38, 39]"
21,"[1, 8, 22, 27, 29]"
22,"[1, 21, 29, 39]"
23,"[6, 12, 26, 30, 36, 49]"
24,"[0, 18, 32, 37, 43]"
25,"[12, 20, 28, 38]"
26,"[12, 17, 23, 28, 30, 42, 49]"
27,"[8, 21]"
28,"[12, 25, 26, 38, 40, 42]"
29,"[8, 21, 22, 32, 38, 39, 40, 46]"
30,"[6, 17, 23, 26, 41, 44]"
31,"[3, 41, 44]"
32,"[0, 2, 24, 29, 40, 43, 46]"
33,[]
34,[7]
35,"[5, 9, 10, 14, 18, 45]"
36,"[6, 13, 16, 23, 49]"
37,"[2, 3, 15, 24, 43]"
38,"[20, 25, 28, 29, 39, 40]"
39,"[20, 22, 29, 38]"
40,"[2, 17, 28, 29, 32, 38, 42, 48]"
41,"[6, 30, 31, 44]"
42,"[17, 26, 28, 40]"
43,"[2, 24, 32, 37]"
44,"[3, 17, 30, 31, 41, 48]"
45,"[5, 7, 9, 10, 35]"
46,"[0, 4, 8, 29, 32, 47]"
47,"[4, 46]"
48,"[2, 3, 15, 17, 40, 44]"
49,"[12, 13, 23, 26, 36]"
